date,incidents
jan-19,760.0
feb-19,975.0
mrt-19,742.0
apr-19,959.0
mei-19,823.0
jun-19,795.0
jul-19,607.0
aug-19,535.0
sep-19,729.0
okt-19,845.0
nov-19,602.0
dec-19,493.0
jan-20,542.0
feb-20,628.0
mrt-20,697.0
apr-20,648.0
mei-20,687.0
jun-20,613.0
jul-20,525.0
aug-20,221.0
sep-20,280.0
okt-20,325.0
nov-20,396.0
dec-20,509.0
jan-21,455.0
feb-21,465.0
mrt-21,482.0
apr-21,508.0
mei-21,510.0
jun-21,395.0
jul-21,494.0
aug-21,416.0
sep-21,431.0
okt-21,487.0
nov-21,507.0
dec-21,334.0
jan-22,519.5
feb-22,705.0
mrt-22,534.0
apr-22,962.0
mei-22,1819.0
jun-22,1832.0
jul-22,2387.0
aug-22,2350.0
sep-22,2630.0
okt-22,2422.0
nov-22,2610.0
dec-22,3097.0
jan-23,3302.0
feb-23,3231.0
mrt-23,3928.0
apr-23,4329.0
mei-23,4926.0
jun-23,4740.0
jul-23,4254.0
aug-23,4980.0
sep-23,4951.0
